host,mx,soa,ns,txt,status_code,a,aaaa,cdn,cdn-name,caa,ptr,cname,has_internal_ips,internal_ips
7seas.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d1.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d4.googledomains.com",,NOERROR,,,,,,,,,
7shifts.zip,"eforward5.registrar-servers.com, eforward4.registrar-servers.com, eforward1.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns1.registrar-servers.com, dns2.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,162.255.119.234,,,,,,,,
7zip.zip,"alt3.gmr-smtp-in.l.google.com, alt4.gmr-smtp-in.l.google.com, gmr-smtp-in.l.google.com, alt2.gmr-smtp-in.l.google.com, alt1.gmr-smtp-in.l.google.com","ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e2.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e4.googledomains.com",,NOERROR,,,,,,,,,
88bet.zip,,"maria.ns.cloudflare.com, dns.cloudflare.com","maria.ns.cloudflare.com, yew.ns.cloudflare.com",,NOERROR,"172.67.199.108, 104.21.84.246","2606:4700:3035::6815:54f6, 2606:4700:3036::ac43:c76c",True,cloudflare,,,,,
90210.zip,"alt2.gmr-smtp-in.l.google.com, alt1.gmr-smtp-in.l.google.com, alt4.gmr-smtp-in.l.google.com, gmr-smtp-in.l.google.com, alt3.gmr-smtp-in.l.google.com","ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e2.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e4.googledomains.com",,NOERROR,"216.239.34.21, 216.239.32.21, 216.239.36.21, 216.239.38.21","2001:4860:4802:36::15, 2001:4860:4802:34::15, 2001:4860:4802:38::15, 2001:4860:4802:32::15",,,,,,,
a1.zip,,"harvey.ns.cloudflare.com, dns.cloudflare.com","zita.ns.cloudflare.com, harvey.ns.cloudflare.com",,NOERROR,"104.21.22.93, 172.67.203.200","2a06:98c1:3121::3, 2a06:98c1:3120::3",True,cloudflare,,,,,
a1a.zip,,"ns1.domaindiscount24.net, tech.key-systems.net","ns3.domaindiscount24.net, ns1.domaindiscount24.net, ns2.domaindiscount24.net",,NOERROR,,,,,,,,,
aaa.zip,,"ns1.name.com, hostmaster.nsone.net","ns4fmw.name.com, ns1bdg.name.com, ns2dky.name.com, ns3dkz.name.com",,NOERROR,75.126.104.249,,,,,,,,
aamir.zip,"eforward5.registrar-servers.com, eforward1.registrar-servers.com, eforward4.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns2.registrar-servers.com, dns1.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,162.255.119.212,,,,,,,,
abacus.zip,,"theo.ns.cloudflare.com, dns.cloudflare.com","vera.ns.cloudflare.com, theo.ns.cloudflare.com",v=spf1 -all,NOERROR,"172.67.177.222, 104.21.83.156","2606:4700:3031::ac43:b1de, 2606:4700:3031::6815:539c",True,cloudflare,,,,,
abb-updates.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b4.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b1.googledomains.com",,NOERROR,,,,,,,,,
abcd.zip,,"ns1.dan.com, dns.jomax.net","ns2.dan.com, ns1.dan.com",,NOERROR,3.64.163.50,,,,,,,,
abcdefghijklmnopqrstuvwxy.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,,,,
abdel.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d3.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com",,NOERROR,,,,,,,,,
ableton.zip,,"howard.ns.cloudflare.com, dns.cloudflare.com","howard.ns.cloudflare.com, marjory.ns.cloudflare.com",,NOERROR,"188.114.97.3, 188.114.96.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",True,cloudflare,,,,,
abode.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,,,,
absolutelybangingnudes.zip,,"dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns1.registrar-servers.com, dns2.registrar-servers.com",,NOERROR,,,,,,,,,
accelerator.zip,,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",,NOERROR,3.64.163.50,,,,,,,,
access-log.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a4.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a1.googledomains.com",,NOERROR,,,,,,,,,
access-logs.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b4.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b1.googledomains.com, ns-cloud-b2.googledomains.com",,NOERROR,,,,,,,,,
accesslog.zip,"route2.mx.cloudflare.net, route3.mx.cloudflare.net, route1.mx.cloudflare.net","chin.ns.cloudflare.com, dns.cloudflare.com","chin.ns.cloudflare.com, woz.ns.cloudflare.com",v=spf1 include:_spf.mx.cloudflare.net ~all,NOERROR,"104.21.32.209, 172.67.155.35","2606:4700:3030::6815:20d1, 2606:4700:3037::ac43:9b23",True,cloudflare,,,,,
accesssystems.zip,,"ns10.digicertdns.com, dns.digicertdns.com","ns13.digicertdns.net, ns11.digicertdns.com, ns15.digicertdns.net, ns10.digicertdns.com, ns12.digicertdns.com, ns14.digicertdns.net",,NOERROR,"96.45.82.110, 96.45.83.44, 96.45.82.146, 96.45.83.203",,,,,,,,
account-backup.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c3.googledomains.com",,NOERROR,"216.239.34.21, 216.239.38.21, 216.239.32.21, 216.239.36.21, 216.239.32.108, 216.239.34.108, 216.239.36.108, 216.239.38.108","2001:4860:4802:34::15, 2001:4860:4802:38::15, 2001:4860:4802:32::15, 2001:4860:4802:36::15, 2001:4860:4802:32::6c, 2001:4860:4802:34::6c, 2001:4860:4802:36::6c, 2001:4860:4802:38::6c",,,,,,,
accounts-payable.zip,,"ns21.domaincontrol.com, dns.jomax.net","ns22.domaincontrol.com, ns21.domaincontrol.com",,NOERROR,34.102.136.180,,True,google,,,,,
